"station","long","lat","FE","scaled_FE","scaled_FE_layered","round.FE","round.scaled_FE"
"22nd & P ST NW",-77.0487303,38.9094018,0.553494036426911,1.29853005972561,2,0.553,1.299
"23rd & M St NW",-77.0502663,38.9053108,0.739231283477075,2.01831827892502,3,0.739,2.018
"25th St & Pennsylvania Ave NW",-77.053485,38.9038267,0.594686208633896,1.45816223231732,2,0.595,1.458
"2nd St & Massachusetts Ave NE",-77.0031373,38.8949798,0.42097343632527,0.784972503181047,1,0.421,0.785
"37th & O St NW / Georgetown University",-77.0716579,38.9078474,0.578314947894228,1.39471862689621,2,0.578,1.395
"3rd & H St NE",-76.9853819,38.9002015,0.605197034205188,1.49889487232589,2,0.605,1.499
"3rd & M St NE",-77.0019508,38.905654,0.774722490078119,2.15585747907104,3,0.775,2.156
"3rd St & Pennsylvania Ave SE",-77.0019074,38.8873646,0.394060994143787,0.680678619537533,1,0.394,0.681
"4th & C St SW",-77.0177033,38.8863798,0.479756321661855,1.01277402941125,2,0.48,1.013
"4th & Florida Ave NE",-77.0006712,38.9073337,0.861742849583794,2.49308779015541,3,0.862,2.493
"4th & M St SW",-77.017897,38.876697,0.847808063134452,2.43908626228423,3,0.848,2.439
"4th St & Madison Dr NW",-77.017239,38.8904935,0.954609276418406,2.85297338691266,3,0.955,2.853
"5th & K St NW",-77.019027,38.9030397,0.968843678126589,2.90813601487029,3,0.969,2.908
"5th St & Massachusetts Ave NW",-77.0186793,38.9009378,0.63227900020817,1.60384571224245,2,0.632,1.604
"6th & H St NE",-76.9983,38.900042,0.813634846885678,2.30665467487421,3,0.814,2.307
"7th & F St NW / National Portrait Gallery",-77.022309,38.8973289,0.791235924799832,2.21985205183434,3,0.791,2.22
"7th & K St NW",-77.0213943,38.9026818,0.67512144481174,1.76987319136743,2,0.675,1.77
"7th & R St NW / Shaw Library",-77.0225895633997,38.9123783,0.505914216956374,1.11414381479932,2,0.506,1.114
"8th & H St NW",-77.0230731,38.8996552,0.657965100125771,1.70338714731538,2,0.658,1.703
"8th & O St NW",-77.0227723,38.9086478,0.924659965315795,2.73691071425457,3,0.925,2.737
"Adams Mill & Columbia Rd NW",-77.0427358,38.9231323,0.720135923939385,1.94431796366841,2,0.72,1.944
"California St & Florida Ave NW",-77.04062,38.9177607,0.700610425437759,1.86865072934319,2,0.701,1.869
"Columbia & Ontario Rd NW",-77.0404432,38.9240529,0.645336939428304,1.65444919090355,2,0.645,1.654
